Authors,Title,Journal,Year,PMID,Computational Prediction,High-throughput data integration,Prediction Application,Consistent with experiments,Organism,Location,Great papers,Short Description,UT,Total Citations
string,string,string,number,string,string,string,string,string,string,string,string,string,string,number
"Fell, DA; Small, JR",Fat Synthesis In Adipose Tissue. An Examination Of Stoichiometric Constraints.,Biochemical Journal,1986,3800960,Flux Phenotype,,Basic Science,,Human [adipocyte],"Oxford Polytechnic, Headington, Oxford, UK",x,"First FBA paper, show lactate formation is not required for fat synthesis in adipose implying that glucose input exceeds lipogenesis",UT,103
"Majewski, RA; Domach, MM",Simple Constrained-Optimization View Of Acetate Overflow In E. Coli.,Biotechnology And Bioengineering,1990,18592570,Flux Phenotype,,Basic Science,Legacy data,Escherichia coli,"Carnegie Mellon University, Pittsburgh, Pennsylvania",x,"First experimentally confirmed FBA paper, show acetate overflow in E. coli is due to constraining NADH turnover rate or activity of key TCA enzymes",,163
"SAVINELL, JM; PALSSON, BO",Optimal Selection Of Metabolic Fluxes For Invivo Measurement. 2. Appplication To Escherichia Coli And Hybridoma Cell Metabolism,Journal Of Theoretical Biology,1992,1453698,ExpDes,,Basic Science,,"Multiple (Escherichia coli, Mouse hybridoma)","University of Michigan, Ann Arbor, Michigan",x,"First experimental design paper, determine which fluxes in network to experimentally measure for optimal internal flux determination; show how much error can exist from measuring wrong set of fluxes",,111
"SAVINELL, JM; PALSSON, BO",Optimal Selection Of Metabolic Fluxes For Invivo Measurement .1. Development Of Mathematical-Methods,Journal Of Theoretical Biology,1992,1453697,ExpDes,,Basic Science,,"Multiple (Escherichia coli, Mouse hybridoma)","University of Michigan, Ann Arbor, Michigan",x,"First experimental design paper, determine which fluxes in network to experimentally measure for optimal internal flux determination; show how much error can exist from measuring wrong set of fluxes",,111
"SAVINELL, JM; PALSSON, BO",Network Analysis Of Intermediary Metabolism Using Linear Optimization .1. Development Of Mathematical Formalism,Journal Of Theoretical Biology,1992,1593896,Flux Phenotype,,Basic Science,Legacy data,Mouse [hybridoma],"University of Michigan, Ann Arbor, Michigan",x,"Use shadow prices to show amino acids are lmiting nutrients for growth; secreted products typically have lower shadow prices; input ""worth"" is determined for glucose and glutamine",,111
"SAVINELL, JM; PALSSON, BO",Network Analysis Of Intermediary Metabolism Using Linear Optimization .2. Interpretation Of Hybridoma Cell-Metabolism,Journal Of Theoretical Biology,1992,1593897,Flux Phenotype,,Basic Science,Legacy data,Mouse [hybridoma],"University of Michigan, Ann Arbor, Michigan",x,"Use shadow prices to show amino acids are lmiting nutrients for growth; secreted products typically have lower shadow prices; input ""worth"" is determined for glucose and glutamine",,111
"VARMA, A; BOESCH, BW; PALSSON, BO",Stoichiometric Interpretation Of Escherichia-Coli Glucose Catabolism Under Various Oxygenation Rates,Applied And Environmental Microbiology,1993,8368835,Flux Phenotype,,Basic Science,Legacy data,Escherichia coli,"University of Michigan, Ann Arbor, Michigan",,Determine optimal fluxes during variabl e oxygen input,,131
"VARMA, A; BOESCH, BW; PALSSON, BO",Biochemical Production Capabilities Of Escherichia-Coli,Biotechnology And Bioengineering,1993,18609648,Flux Phenotype,,Met Eng,,Escherichia coli,"University of Michigan, Ann Arbor, Michigan",,"Determine optimal nutrients for different E coli products; capabilities of network, carbon conversion yields",,131
"VARMA, A; PALSSON, BO",Metabolic Capabilities Of Escherichia-Coli .2. Optimal-Growth Patterns,Journal Of Theoretical Biology,1993,,Flux Phenotype,,Basic Science,Legacy data,Escherichia coli,"University of Michigan, Ann Arbor, Michigan",,"ATP demand is a big drain, pathway utilization is consistent with experiments, shadow prices of inputs shows sugar monophosphates as best utilized ",,129
