Type of Prediction,,,,,,,,,,,,,Data Integration,,Application of Prediction,,,,,Experimental Validation,
Flux Phenotype,Essentiality (Global),KO (Targeted),Other Phenotype,Thermodynamics,Objective Function,Systemscale Property,Metabolite Phenotype,TRN/PPI/ Genetic Int,Synthetic Biology,Biological Discovery,ExpDes,Pathway Analaysis,Data Input?,Type of Data?,Met Eng,Inf Dis,Env,Biomed,Basic Science,Exp Conf?,New Exp?
x,,,,,,,,,,,,,,,,,,,x,,
x,,,,,,,,,,,,,,,,,,,x,x,
,,,,,,,,,,,x,,,,,,,,x,,
,,,,,,,,,,,x,,,,,,,,x,,
x,,,,,,,,,,,,,,,,,,,x,x,
x,,,,,,,,,,,,,,,,,,,x,x,
x,,,,,,,,,,,,,,,,,,,x,x,
x,,,,,,,,,,,,,,,x,,,,,,
x,,,,,,,,,,,,,,,,,,,x,x,
x,,,,,,,,,,,,,,,,,,,x,,
x,,,,,,,,,,,,,,,x,,,,x,x,x
,,,,,,,,,,,x,,,,x,,,,,,
x,,,,,,,,,,,,,,,x,,,,,x,
,,,,,,,,,,,x,,,,,,,,x,,
,,x,,,,,,,,,x,x,,,x,,,,,x,x
x,,,,,,,,,,,,,,,x,,,,,,
x,,,,,,,,,,,,,,,,,,,x,x,
x,,,,,,,,,,,,,,,,,,,x,x,x
x,,,,,,,,,,,,,,,x,,,,,,
x,,,,,,,,,,,,,,,,,,,x,,
x,,,,,,,,,,,,,,,x,,,,,,
x,,,,,,,,,,,,,,,,,,,x,x,x
x,x,,,,,,,,,,,,,,,x,,,,,
,,x,,,,,,,,,,x,,,,x,,,x,,
x,,,,,,,,,,,,,,,,,x,,,x,x
x,,,,,,,,,,,,,,,x,,,,,,
x,,,,,,,,,,,x,,,,x,,,,,x,x
x,,,,,,,,,,,,,,,,,,,x,,
x,x,,,,,,,,,,,,,,,,,,x,x,
x,x,,,,,,,,,,,,,,,,,,x,x,
,x,,,,,,,x,,,x,x,,,,x,,,x,,
x,,,,,,,,,,,,,,,,,,x,,,
x,,,,,,,,,,,,,,,,,,,x,x,x
x,,,,,,,,x,,,,,x,Transcriptomics,,,,,x,,
,,x,,,,,,,x,,,,,,x,,,,,,
x,x,,,,,,,,,,,,,,,,,x,x,x,
,,,x,,,,,,,,,x,,,,,,,x,,
x,,,,,,,,,,,,,,,,,,,x,x,x
x,,,,,,,,,,,x,,,,x,,,,x,,
x,,,,,,,,,,,x,,x,Fluxomics,x,,,,x,,
x,,,,,,,,,,,,,,,x,,,,,x,x
x,,x,,,,,,,,,,,,,,,,,x,x,
,,,,,,x,,x,,,,x,,,,,,,x,x,
x,,,,,,,,,,,,,,,,,,,x,x,x
,x,,,,,,,,,,x,x,,,,x,,,x,,
,,x,,x,,,,,,,,,,,,,,,x,,
x,,,,,,,,,,,,,,,,,,,x,x,
x,x,,,,,,,x,,,,,,,,,,,x,x,
x,,,,,,x,,,,,,x,,,,,,,x,,
x,,x,,,,x,,,,,,x,,,x,,,,x,x,x
x,,,,,,,,,,,x,x,,,x,,,,,,
x,,,,,,,,,,,,,,,,,,,x,,
x,,,,,,,,,,,,,,,,,,,x,x,x
x,,,,,,,,,,,,,x,Fluxomics,,,,,x,,
x,,,,,,,,,,,,,,,,,,,x,,
x,,,,,,,,,,x,,,,,,,,,x,,
,,x,,,,,,,,,x,,,,x,,,,,x,
x,,,,,,,,,,,,,,,,,,,x,,
x,x,,,,,,,,,,,,,,,,,,x,x,
,,x,,,,,,,,,x,,,,x,,,,,,
,,,,,x,,,,,,,,,,,,,,x,,
,x,,,,,,,,,x,,,,,,,,,x,x,
x,,,,,,,,,,,,,,,,,,,x,x,x
x,x,,,,,,,,,,x,,,,x,,,,x,x,
,,,,,,x,,,,,,x,,,,,,,x,,
,,,,,,,,,,,,x,,,,,,,x,,
x,,,x,,,,,,,,,,,,,,,,x,,
,,,,,,x,,,,,,,,,,,,,x,,
x,,,,,,,,,,,,,,,x,,,,,x,x
,x,,,,,,,x,,x,,,,,,,,,x,x,x
x,,,,,,x,,,,,,,,,,,,,x,x,
,x,,,,,,,,,,x,,,,,,,,x,x,
,x,,,,,x,,x,,,,,,,,,,,x,,
x,x,,,,,x,,,,,,,,,,,,,x,x,
,,,,,,,,,,,,x,,,,,,,x,x,x
x,,,,,,,,,,,,,,,,,,,x,x,x
,,,,,,,,,x,,x,,,,x,,,,,,
x,,,,,,,,x,,,,,,,,,,,x,,
x,,,,,,x,,,,,,,,,,,,x,x,x,
x,,,,,,,,,,,,,,,,,,,x,,
x,,,,,,,,,,,,,x,Transcriptomics,,,,,x,x,x
,,,x,,,x,,,,,,x,,,,,,,x,,
x,,,,,,x,,,,,,,,,,,,x,x,,
x,,x,,,,x,,,,,,,,,,,,x,,x,
x,,x,,,,,,,,,,x,,,,,,,x,x,
x,,,,,,,,,,,,x,,,,,,,x,x,
