Authors,Title,Journal,Year,PMID/filename,UT,Great papers,Short Description,Flux Phenotype,Essentiality (Global),KO (Targeted),Other Phenotype,Thermodynamics,Objective Function,Systemscale Property,Metabolite Phenotype,TRN/PPI/ Genetic Int,Synthetic Biology,Biological Discovery,ExpDes,Pathway Analaysis,Data Input?,Type of Data?,Met Eng,Inf Dis,Env,Biomed,Basic Science,Exp Conf?,New Exp?,Organism,Last Author,Location,Total Citations,Citations in first 2 years,
string,string,string,number,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string
"Edwards, JS; Ibarra, RU; Palsson, BO",In silico predictions of Escherichia coli metabolic capabilities are consistent with experimental data,NATURE BIOTECHNOLOGY,2001,11175725,,,FBA optimality is quantitatively matched for E coli on aerobic acetate and aerobic succinate growth,x,,,,,,,,,,,,,,,,,,,x,x,x,Escherichia coli,Palsson,"University of California San Diego, La Jolla, California",439,,
"Edwards, JS; Palsson, BO",Robustness analysis of the Escherichia coli metabolic network,BIOTECHNOLOGY PROGRESS,2000,11101318,,,First use of robustness analysis of essential reactions to growth rate; E. coli system is very robust to suboptimal metabolic fluxes,x,,,,,,,,,,,,,,,,,,,x,,,Escherichia coli,Palsson,"University of California San Diego, La Jolla, California",419,,
"Edwards, JS; Palsson, BO","The Escherichia coli MG1655 in silico metabolic genotype: Its definition, characteristics, and capabilities",PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,2000,10805808,,x,"iJE, Essentiality analysis (86% correct)",x,x,,,,,,,,,,,,,,,,,,x,x,,Escherichia coli,Palsson,"University of California San Diego, La Jolla, California",419,,
"Edwards, JS; Palsson, BO",Systems properties of the Haemophilus influenzae Rd metabolic genotype,JOURNAL OF BIOLOGICAL CHEMISTRY,1999,10364169,,x,First genome scale model; first use of PhPP (6 optimal phases); single and double deletion,x,x,,,,,,,,,,,,,,,x,,,,,,Haemophilus influenzae,Palsson,"University of California San Diego, La Jolla, California",419,,
"Forster, J; Famili, I; Fu, P; Palsson, BO; Nielsen, J",Genome-scale reconstruction of the Saccharomyces cerevisiae metabolic network,GENOME RESEARCH,2003,12566402,,,"First yeast model, biosynthesis capabilties of precursor metabolites vs Ecoli",x,,,,,,,,,,,,,,,,,,,x,,,Saccharomyces cerevisiae,Nielsen,"Technical University of Denmark, Lyngby, Denmark",416,,
"Segre, D; Vitkup, D; Church, GM",Analysis of optimality in natural and perturbed metabolic networks,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,2002,12415116,1.79E+11,x,"MOMA paper, allows prediction of suboptimal phenotypes after KO",x,,x,,,,,,,,,,,,,,,,,x,x,,Escherichia coli,Church,"Harvard Medical School, Boston, Massachusetts",402,,
"Duarte, Natalie C.; Becker, Scott A.; Jamshidi, Neema; Thiele, Ines; Mo, Monica L.; Vo, Thuy D.; Srivas, Rohith; Palsson, Bernhard O.",Global reconstruction of the human metabolic network based on genomic and bibliomic data,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,2007,17267599,,,Recon1; SVD shows importantance of compartmentalization; coupled sets show alternative drug targets; integrate expression data for analysis,x,,,,,,x,,,,x,,,x,Transcriptomics,,,,x,x,,,human,Palsson,"University of California San Diego, La Jolla, California",360,,
"Stelling, J; Klamt, S; Bettenbrock, K; Schuster, S; Gilles, ED",Metabolic network structure determines key aspects of functionality and regulation,NATURE,2002,12432396,1.79E+11,x,"Utilize ""network topology""/EFMs to show robustness of Ecoli on different substrates, co-regulation patterns",,,,,,,x,,x,,,,x,,,,,,,x,x,,Escherichia coli,Gilles,"Max Planck Institute for Dynamics of Complex Technical Systems, Magdeburg, Germany",358,,
"Reed, JL; Vo, TD; Schilling, CH; Palsson, BO",An expanded genome-scale model of Escherichia coli K-12 (iJR904 GSM/GPR),GENOME BIOLOGY,2003,12952533,,,"iJR904, added GPRs, flux comparison to iJE660a, proton balancing is done, putative annotation of 55 ORFs",x,,,,,,,,,,x,,,,,,,,,x,,,Escherichia coli,Palsson,"University of California San Diego, La Jolla, California",354,,
"Covert, MW; Knight, EM; Reed, JL; Herrgard, MJ; Palsson, BO",Integrating high-throughput and computational data elucidates bacterial networks,NATURE,2004,15129285,,x,"Build genome-scale metabolic and TRN in E. coli, can predict transcription and KO, utilize for biological discovery",,x,,,,,,,x,,x,,,,,,,,,x,x,x,Escherichia coli,Palsson,"University of California San Diego, La Jolla, California",352,,
"Ibarra, RU; Edwards, JS; Palsson, BO",Escherichia coli K-12 undergoes adaptive evolution to achieve in silico predicted optimal growth,NATURE,2002,12432395,,x,Suboptimal E.coli evolves to predicted growth rate by FBA,x,,,,,,,,,,,,,,,,,,,x,x,x,Escherichia coli,Palsson,"University of California San Diego, La Jolla, California",349,,
"VARMA, A; PALSSON, BO",STOICHIOMETRIC FLUX BALANCE MODELS QUANTITATIVELY PREDICT GROWTH AND METABOLIC BY-PRODUCT SECRETION IN WILD-TYPE ESCHERICHIA-COLI W3110,APPLIED AND ENVIRONMENTAL MICROBIOLOGY,1994,7986045,,x,"Original dFBA, first paper to generate its own data to confirm predictions, quantitatively predict growth and metabolite secretion (acetate), acetate production and reutilization",x,,,,,,,,,,,,,,,x,,,,x,x,x,Escherichia coli,Palsson,"University of Michigan, Ann Arbor, Michigan",326,,
"Almaas, E; Kovacs, B; Vicsek, T; Oltvai, ZN; Barabasi, AL",Global organization of metabolic fluxes in the bacterium Escherichia coli,NATURE,2004,14985762,1.89E+11,x,"Show high flux backbone of E coli and that fluxes, changes in condition mostly affect high fluxes",x,,,,,,x,,,,,,,,,,,,,x,x,,Escherichia coli,Barabasi,"University of Notre Dame, Notre Dame, Indiana",306,,
"Feist, Adam M.; Henry, Christopher S.; Reed, Jennifer L.; Krummenacker, Markus; Joyce, Andrew R.; Karp, Peter D.; Broadbelt, Linda J.; Hatzimanikatis, Vassily; Palsson, Bernhard O.",A genome-scale metabolic reconstruction for Escherichia coli K-12 MG1655 that accounts for 1260 ORFs and thermodynamic information,MOLECULAR SYSTEMS BIOLOGY,2007,17593909,,,iAF1260; metabolic capabilties; gene essentiality,x,x,,,,,,,,,,,,,,x,,,,x,x,,Escherichia coli,Palsson,"University of California San Diego, La Jolla, California",287,,
"Duarte, NC; Herrgard, MJ; Palsson, BO","Reconstruction and validation of Saccharomyces cerevisiae iND750, a fully compartmentalized genome-scale metabolic model",GENOME RESEARCH,2004,15197165,,,Large scale KO study in new yeast model (iND750),,x,,,,,,,,,,x,,,,,,,,x,x,,Saccharomyces cerevisiae,Palsson,"University of California San Diego, La Jolla, California",265,,
"Burgard, AP; Pharkya, P; Maranas, CD",OptKnock: A bilevel programming framework for identifying gene knockout strategies for microbial strain optimization,BIOTECHNOLOGY AND BIOENGINEERING,2003,14595777,1.86E+11,x,"Original OptKnock paper, results shown for succinate, lactate, and PDO; compared to mutant strains in literature",,,x,,,,,,,,,x,,,,x,,,,,x,,Escherichia coli,Maranas,"Pennsylvania State University, University Park, Pennsylvania",258,,
"Segre, Daniel; DeLuna, Alexander; Church, George M; Kishony, Roy",Modular epistasis in yeast metabolism,NATURE GENETICS,2004,Segre_2004_NatGen,,x,Determine genetic interactions with FBA; reveal functional units of biological modularity,,x,,,,,x,,x,,,,,,,,,,,x,,,Saccharomyces cerevisiae,Kishony,"Harvard University, Cambridge, Massachusetts",257,,
"Mahadevan, R; Schilling, CH",The effects of alternate optimal solutions in constraint-based genome-scale metabolic models,METABOLIC ENGINEERING,2003,14642354,1.89E+11,,"Original FVA paper, show that MOMA QP is highly dependent on alternate optimal solution started at",x,,,,,,,,,,,,,,,,,,,x,,,Escherichia Coli,Schilling,"Genomatica, San Diego, California",204,,
"Schilling, CH; Covert, MW; Famili, I; Church, GM; Edwards, JS; Palsson, BO",Genome-scale metabolic model of Helicobacter pylori 26695,JOURNAL OF BACTERIOLOGY,2002,12142428,,,"Reconstruction, general characterization, minimal media determination, KO study",,x,,,,,,,,,,x,x,,,,x,,,x,,,Helicobacter pylori,Palsson,"University of California San Diego, La Jolla, California",198,,
"Papp, B; Pal, C; Hurst, LD",Metabolic network analysis of the causes and evolution of enzyme dispensability in yeast,NATURE,2004,15190353,2.22E+11,x,Most dispensable genes in Yeast can be essential under other conditions that have not been tested experimentally,x,x,,,,,x,,,,,,,,,,,,,x,x,,Saccharomyces cerevisiae,Hurst,"University of Bath, Bath, Somerset, UK",179,,
"Famili, I; Forster, J; Nielson, J; Palsson, BO",Saccharomyces cerevisiae phenotypes can be predicted by using constraint-based analysis of a genome-scale reconstructed metabolic network,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,2003,14578455,,x,Computed PO ratio for yeast which was unknown why such a low yield; growth and by product secretion profiles; gene Kos,x,x,,,,,,,,,,,,,,,,,,x,x,,Saccharomyces cerevisiae,Palsson,"University of California San Diego, La Jolla, California",174,,
"Schuetz, Robert; Kuepfer, Lars; Sauer, Uwe",Systematic evaluation of objective functions for predicting intracellular fluxes in Escherichia coli,MOLECULAR SYSTEMS BIOLOGY,2007,17625511,2.48E+11,x,Use MFA in different growth conditions to see what OF best fits in FBA,x,,,,,x,,,,,,,,,,,,,,x,x,x,Escherichia coli,Sauer,"ETH Zurich, Switzerland",173,,
